procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  57892 802500 248908 3597476    1    4    61   208  161   84 32  8 60  0  0
12  0  57892 542008 248908 3617052    0    0     0   124 5794 8988 84 16  0  0  0
21  0  57892 609508 248908 3627124    0    0     0   504 5747 10128 84 16  0  0  0
17  0  57892 616860 248912 3623228    0    0     0   948 5817 5657 84 16  0  0  0
 2  0  57892 780784 248912 3608116    0    0     0   392 5508 6184 80 13  7  0  0
 1  0  57892 784320 248912 3608060    0    0     0    96 2929 2683 19  2 79  0  0
 1  0  57892 797472 248912 3599200    0    0     0     8 2224 1201 11  3 87  0  0
 1  0  57892 800436 248912 3589172    0    0     0     8 2093 1161 11  3 87  0  0
 7  0  57892 781952 248920 3606528    0    0     0   320 4086 2014 18  2 80  0  0
 1  0  57892 785380 248920 3608584    0    0     0    44 3286 2727 14  2 83  0  0
 7  0  57892 660148 248924 3699756    0    0  9829   260 7097 17084 40  8 52  0  0
 1  0  57892 627048 248936 3727940    4    0  1581  7492 3298 5869 16  4 80  0  0
 1  0  57892 649544 248952 3706812    0    0   916   524 2823 7052 15  3 82  0  0
 0  0  57892 664964 248952 3696088    0    0     0   212 4133 12321 11  3 86  0  0
 2  0  57892 680088 248960 3692992    0    0     0  1088 2336 6970  6  3 91  0  0
 2  0  57892 654760 248988 3681612    0    0   561   324 3568 11917 11  6 82  0  0
 1  0  57892 535668 249008 3694176    0    0  4669  6596 10375 19174 27  6 68  0  0
 1  0  57892 501896 249008 3686064    0    0  4755     8 7430 21334 21  6 73  0  0
 2  0  57892 448812 249012 3713936    0    0   724   408 4128 14342 13  5 82  0  0
 2  0  57892 353796 249136 3729248    0    0   316     8 4788 15079 21  5 74  0  0
 0  0  57892 298092 249144 3760076    0    0    16   644 3415 10095 13  4 83  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 294104 249152 3761388    0    0     0   296 2078 6246  6  3 91  0  0
 0  0  57892 349088 249152 3719644    0    0     0    20  867 1769  1  1 97  0  0
 1  0  57892 349328 249152 3719152    0    0     0    20  601  923  1  1 99  0  0
 0  0  57892 341808 249160 3722852    0    0     0   108  957 2216  3  1 96  0  0
 0  0  57892 355132 249172 3721008    0    0     4   448 2143 6878  8  3 89  0  0
 0  0  57892 353088 249172 3719344    0    0     0     8  680 1115  1  2 98  0  0
 0  0  57892 379448 249184 3690196    0    0     0   256  720 1478  1  1 97  0  0
 0  0  57892 360204 249184 3709232    0    0     0     4 1118 2972  3  1 96  0  0
 2  0  57892 350336 249184 3715540    0    0     4     8 2019 6531  7  3 91  0  0
 4  0  57892 335656 249188 3724168    0    0     0   252 2158 6812  6  3 91  0  0
 0  0  57892 306200 249196 3737772    0    0     4   108 2285 6922  8  3 90  0  0
 0  0  57892 419628 249196 3689292    0    0     0   168 2997 8406 15  4 81  0  0
 0  0  57892 424020 249196 3689520    0    0     0     8  856 2229  2  1 97  0  0
 0  0  57892 423060 249212 3684928    0    0     0 10100 1247 2428  2  1 97  0  0
 0  0  57892 427672 249212 3685512    0    0     0     8  985 2390  3  1 96  0  0
 0  0  57892 429692 249212 3680744    0    0     0     8  594 1453  1  1 98  0  0
 0  0  57892 440060 249228 3679616    0    0     0   348  661 1423  1  1 98  0  0
 3  0  57892 444936 249228 3679188    0    0     0   220  654 1312  1  1 98  0  0
 0  0  57892 431740 249228 3682236    0    0     0     8  900 2321  2  1 97  0  0
 0  0  57892 431920 249228 3681360    0    0     0    44  474 1097  1  1 98  0  0
 1  0  57892 431236 249232 3678168    0    0    60   256  437  787  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  57892 434384 249240 3673288    0    0     0   288  607 1243  1  1 99  0  0
 0  0  57892 434960 249240 3678016    0    0     0     8  728 1968  2  1 97  0  0
 2  0  57892 459024 249240 3677108    0    0     0     8 1410 1812  4  1 95  0  0
 1  0  57892 463068 249244 3673860    0    0     0   216  607 1140  1  1 98  0  0
 0  0  57892 470096 249252 3673604    0    0     0   104  525  876  1  1 98  0  0
 1  0  57892 472056 249252 3673060    0    0     0  1540  738 1498  1  1 98  0  0
 0  0  57892 488388 249252 3664964    0    0     0     8  635 1251  1  3 96  0  0
 0  0  57892 500704 249268 3664632    0    0     0   416  460  872  1  1 98  0  0
 0  0  57892 499736 249268 3663080    0    0     0     8  633 1184  1  1 98  0  0
 0  0  57892 507268 249268 3662600    0    0     0     8  494  784  1  1 98  0  0
 0  0  57892 524164 249268 3662600    0    0     0     8 2263 1653  4  1 95  0  0
