procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 3133628 336724 8274480    0    0    13    30  106   45  4  1 95  0  0
75  0      0 1114848 336724 8274424    0    0     0   248 9534 9050 86 11  3  0  0
74  0      0 2246584 336724 8296320    0    0     0   612 22222 11998 86 14  0  0  0
 9  0      0 2977948 336724 8296828    0    0     0   356 11309 18512 57  9 34  0  0
77  0      0 1702988 336724 8297252    0    0     0   568 9852 11522 78 12 10  0  0
71  0      0 1749508 336744 8295896    0    0     0  2532 15602 11572 89 11  0  0  0
15  0      0 2852768 336744 8297200    0    0     0   636 19188 21609 82 16  2  0  0
68  0      0 2084776 336744 8297312    0    0     0   464 10766 12585 71 12 17  0  0
71  0      0 1394588 336744 8297644    0    0     0   288 10484 11044 90 10  0  0  0
34  0      0 2584500 336744 8296444    0    0     0  8836 11706 17744 87 13  0  0  0
43  0      0 2555772 336752 8297024    0    0     0  1424 12530 15217 84 14  2  0  0
68  0      0 1502368 336752 8296556    0    0     0   336 11020 10871 89 11  0  0  0
49  0      0 2432280 336752 8297556    0    0     0   600 12062 15862 87 13  0  0  0
12  0      0 2942496 336752 8276496    0    0     0   480 11842 16768 66 11 22  0  0
 1  0      0 3127040 336752 8277112    0    0     0   712 10336 13487 21  4 76  0  0
