procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 3905908 291764 7681556    0    0    15    30  103  132  4  1 95  0  0
69  0      0 1912104 291764 7682688    0    0     0   216 10082 8561 87 10  3  0  0
75  0      0 2888180 291764 7682972    0    0     0   584 10435 12409 88 12  0  0  0
 7  0      0 3834252 291764 7683360    0    0     0   324 10745 15886 47  9 45  0  0
80  0      0 2218044 291772 7682812    0    0     0  1328 10010 9625 85 11  3  0  0
60  0      0 3088460 291772 7688148    0    0     0   588 10799 11918 89 11  0  0  0
10  0      0 3712364 291772 7686176    0    0     0   580 10988 17593 76 13 12  0  0
71  0      0 2656536 291772 7686100    0    0     0   480 9728 9620 83 12  4  0  0
65  0      0 2850764 291772 7685824    0    0     0   496 9766 9525 89 11  0  0  0
13  0      0 3690900 291776 7685536    0    0     0  1808 11611 17532 84 14  2  0  0
64  0      0 2794548 291776 7685012    0    0     0   496 10707 10473 80 12  8  0  0
67  0      0 2399712 291776 7685548    0    0     0   352 10129 10085 90 10  0  0  0
11  0      0 3745936 291776 7685644    0    0     0   696 11302 17359 81 14  5  0  0
 1  0      0 3915684 291776 7685548    0    0     0   332 11144 15459 43  7 50  0  0
